Month,Year,SO2,Nox,PM10,PM2.5,NH3,Ozone,CO,Benzene,Toulene,Xylene,AQI
Jan,2016,,,62,,,,,,,,67
Feb,2016,,,68,,,,,,,,68
Mar,2016,,,71,,,,,,,,71
Apr,2016,,,70,,,,,,,,70
May,2016,,,69,40,,,,,,,71
Jun,2016,4,15,66,40,21,,,,,,40
Jul,2016,4,16,60,30,21,,,,,,60
Aug,2016,4,17,61,29,21,,,,,,61
Sep,2016,5,18,58,28,21,,,,,,58
Oct,2016,5,22,67,33,21,,,,,,67
Nov,2016,5,20,63,30,21,,,,,,63
Dec,2016,5,21,65,34,21,,,,,,65
Jan,2017,5,21,64,35,21,,,,,,64
Feb,2017,5,21,64,32,21,,,,,,64
Mar,2017,6,20,68,30,21,,,,,,68
Apr,2017,5,20,69,35,21,,,,,,69
May,2017,5,19,71,35,21,,,,,,71
Jun,2017,4,20,66,32,18,,,,,,66
Jul,2017,5,21,61,32,17,,,,,,62
Aug,2017,5,21,61,28,17,,,,,,60
Sep,2017,5,21,61,28,17,,,,,,61
Oct,2017,5,22,62,31,16,,,,,,65
Nov,2017,6,21,63,28,15,,,,,,63
Dec,2017,6,21,64,28,18,,,,,,64
Jan,2018,6.1,21.3,66,28,,,,,,,66
Feb,2018,6.2,21.5,67,31,,,,,,,67
Mar,2018,6,21.3,70,33,,,,,,,70
Apr,2018,6,22.1,74,35,,,,,,,74
May,2018,5.9,22.4,74,34,,,,,,,74
Jun,2018,5.8,22.4,68.7,29.1,,,,,,,69
Jul,2018,5.9,22.4,63.8,27.1,,,,,,,64
Aug,2018,5.7,22.4,64,26,,,,,,,64
Sep,2018,5.7,23.9,61,28,,,,,,,62
Oct,2018,5.9,25.8,67,28,,,,,,,67
Nov,2018,6.3,26.8,71,41,,,,,,,75
Dec,2018,5.7,24.9,81,47,,,,,,,81
Jan,2019,5.9,24.8,74,45,,,,,,,76
Feb,2019,6,24.8,75,46,,,,,,,77
Mar,2019,5.7,24.5,76,46,,,,,,,79
Apr,2019,5.7,24.3,77,44,,,,,,,78
May,2019,5.2,24.8,80,45,,,,,,,80
Jun,2019,5.4,25.7,75,43,,,,,,,77
Jul,2019,5.5,26,76,45,,,,,,,78
Aug,2019,4.7,24.3,77,46,,,,,,,79
Sep,2019,4.4,23.5,57,44,,,,,,,73
Oct,2019,4.7,24.9,72,,,,,,,,72
Nov,2019,4.5,24.6,75,47,,,,,,,79
Dec,2019,5.2,25.7,73,,,,,,,,73
Jan,2020,5.8,27.6,78,,10,,,,,,78
Feb,2020,5.6,26.6,82,,10,,,,,,82
Mar,2020,4.7,22.2,71,,10,,,,,,71
Apr,2020,2,15.8,52,,10,,,,,,52
May,2020,,,,,,,,,,,
Jun,2020,4.7,24.2,75,,10,,,,,,74
Jul,2020,5.5,24,74,,10,,,,,,74
Aug,2020,4.6,21.5,72,,10,,,,,,72
Sep,2020,5.3,23.7,72,,10,,,,,,72
Oct,2020,5.3,23.8,72,,10,,,,,,72
Nov,2020,,,,,,,,,,,
Dec,2020,,,,,,,,,,,
Jan,2021,,,,,,,,,,,
Feb,2021,5.1,23,62,,20,,,,,,62
Mar,2021,6.6,25.2,73,,18,,,,,,73
Apr,2021,6.1,25.4,74,,19,,,,,,74
May,2021,6,23,67,,17,,,,,,67
Jun,2021,,,,,,,,,,,
Jul,2021,,,,,,,,,,,
Aug,2021,,,,,,,,,,,
Sep,2021,,,,,,,,,,,
Oct,2021,,,,,,,,,,,
Nov,2021,,,,,,,,,,,
Dec,2021,,,,,,,,,,,
Jan,2022,,,,,,,,,,,
Feb,2022,,,,,,,,,,,
Mar,2022,8.2,25.6,56,,14,,,,,,56
Apr,2022,9.5,28.2,65,,18,,,,,,65
May,2022,7.9,26.5,60,,14,,,,,,60
Jun,2022,8.6,25,57,31,16,,,,,,58
Jul,2022,6.8,23.1,48,26,15,,,,,,48
Aug,2022,8.5,26.2,56,31,17,,,,,,56
Sep,2022,9.7,27.5,54,33,19,,,,,,56
Oct,2022,10.9,29.3,62,38,21,,,,,,65
Nov,2022,7.5,26.4,58,32,18,,,,,,58
Dec,2022,9.5,25.3,62,33,20,,,,,,62
